CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
"04/28/2018,23:22:00,4E,900 N BROADWAY,COMMON ASSAULT,,OTHER,313,EASTERN,Gay Street,-76.59457,39.30056,""(39.300560000000, -76.594570000000)"",,1"
"04/28/2018,23:10:00,7A,3300 REISTERSTOWN RD,AUTO THEFT,O,,611,NORTHWESTERN,Liberty Square,-76.6571,39.3245,""(39.324500000000, -76.657100000000)"",STREET,1"
"04/28/2018,22:50:00,4E,1100 N MOUNT ST,COMMON ASSAULT,I,OTHER,743,WESTERN,Sandtown-Winchester,-76.64451,39.30189,""(39.301890000000, -76.644510000000)"",ROW/TOWNHO,1"
"04/28/2018,22:00:00,4E,3200 SPAULDING AVE,COMMON ASSAULT,I,OTHER,614,NORTHWESTERN,Central Park Heights,-76.67497,39.34816,""(39.348160000000, -76.674970000000)"",ROW/TOWNHO,1"
"04/28/2018,22:00:00,4E,3200 SPAULDING AVE,COMMON ASSAULT,,OTHER,614,NORTHWESTERN,Central Park Heights,-76.67497,39.34816,""(39.348160000000, -76.674970000000)"",,1"
"04/28/2018,21:34,1F,1400 E PRESTON ST,HOMICIDE,Outside,FIREARM,343,EASTERN,Oliver,-76.59947,39.30518,""(39.305180000000, -76.599470000000)"",,1"
"04/28/2018,21:00,1F,700 N COLLINGTON AV,HOMICIDE,Outside,FIREARM,321,EASTERN,Middle East,-76.58672,39.29913,""(39.299130000000, -76.586720000000)"",Street,1"
"04/28/2018,21:55:00,5A,1000 N MOUNT ST,BURGLARY,I,,743,WESTERN,Sandtown-Winchester,-76.64448,39.30035,""(39.300350000000, -76.644480000000)"",ROW/TOWNHO,1"
"04/28/2018,21:15:00,3EF,1500 E NORTHERN PKWY,ROBBERY - COMMERCIAL,O,FIREARM,415,NORTHEASTERN,Loch Raven,-76.58485,39.36619,""(39.366190000000, -76.584850000000)"",GAS STATIO,1"
"04/28/2018,20:50:00,6C,2700 WASHINGTON BLVD,LARCENY,,,831,SOUTHWESTERN,Morrell Park,-76.65493,39.26449,""(39.264490000000, -76.654930000000)"",,1"
"04/28/2018,20:32:00,6D,100 N GAY ST,LARCENY FROM AUTO,I,,111,CENTRAL,Downtown,-76.60898,39.29069,""(39.290690000000, -76.608980000000)"",PUBLIC BUI,1"
"04/28/2018,20:30:00,5C,4900 GOODNOW RD,BURGLARY,I,,443,NORTHEASTERN,Frankford,-76.54881,39.32709,""(39.327090000000, -76.548810000000)"",APT/CONDO,1"
"04/28/2018,19:00:00,3AF,WASHINGTON ST & E MONUMENT ST,ROBBERY - STREET,,FIREARM,321,EASTERN,Middle East,-76.58958,39.29856,""(39.298560000000, -76.589580000000)"",,1"
"04/28/2018,18:56:00,4E,200 W READ ST,COMMON ASSAULT,O,OTHER,141,CENTRAL,Mid-Town Belvedere,-76.61867,39.30034,""(39.300340000000, -76.618670000000)"",STREET,1"
"04/28/2018,18:33:00,4E,2200 N FULTON AVE,COMMON ASSAULT,I,OTHER,732,WESTERN,Parkview/Woodbrook,-76.6453,39.31418,""(39.314180000000, -76.645300000000)"",RETAIL/SMA,1"
"04/28/2018,18:16:00,6C,2500 N CHARLES ST,LARCENY,I,,512,NORTHERN,Charles Village,-76.61706,39.31819,""(39.318190000000, -76.617060000000)"",DRUG STORE,1"
"04/28/2018,17:58:00,6C,2400 FREDERICK AVE,LARCENY,I,,841,SOUTHWESTERN,Millhill,-76.65581,39.28343,""(39.283430000000, -76.655810000000)"",GROCERY/CO,1"
"04/28/2018,17:55:00,3AF,5400 YORK RD,ROBBERY - STREET,O,FIREARM,523,NORTHERN,Homeland,-76.60993,39.35577,""(39.355770000000, -76.609930000000)"",PARKING LO,1"
"04/28/2018,17:55:00,3AF,5400 YORK RD,ROBBERY - STREET,O,FIREARM,523,NORTHERN,Homeland,-76.60993,39.35577,""(39.355770000000, -76.609930000000)"",PARKING LO,1"
"04/28/2018,17:35:00,4E,3800 WABASH AVE,COMMON ASSAULT,I,OTHER,643,NORTHWESTERN,East Arlington,-76.66513,39.32789,""(39.327890000000, -76.665130000000)"",APT/CONDO,1"
